2024-08-13 16:14:27.261   600-836   androidtc               system_server                        D  Initializing SystemTextClassifier, type = System
2024-08-13 16:14:27.263  1531-1531  AiAiTextClassifier      com.google.android.as                I  onCreateTextClassificationSession = TextClassificationSessionId {4f304d5d-54ab-4222-b254-eb05d06fdd9e}
2024-08-13 16:14:27.265   861-861   ClipboardListener       com.android.systemui                 I  Clipboard overlay suppressed.
2024-08-13 16:14:27.265  1531-1851  AiAiTranslate           com.google.android.as                I  C2T - not in a conversation
2024-08-13 16:14:27.278  1194-1716  EGL_emulation           com...le.android.apps.nexuslauncher  D  app_time_stats: avg=630.21ms min=1.85ms max=11832.73ms count=19
2024-08-13 16:14:27.285  1531-1904  AiAiTextClassifier      com.google.android.as                I  GenerateLinks did not find valid links, returning empty result
2024-08-13 16:14:27.289  1531-1904  AiAiTextClassifier      com.google.android.as                I  GenerateLinks did not find valid links, returning empty result
2024-08-13 16:14:27.290   861-861   ClipboardListener       com.android.systemui                 I  Clipboard overlay suppressed.
2024-08-13 16:14:27.364   403-793   audioserver             audioserver                          D  logFgsApiBegin: FGS Logger Transaction failed, -129
2024-08-13 16:14:27.364   600-1771  AS.PlaybackActivityMon  system_server                        W  No piid assigned for invalid/internal port id 15
2024-08-13 16:14:27.393   403-504   AudioFlinger            audioserver                          D  mixer(0xb40078618646f8e0) throttle end: throttle time(33)
2024-08-13 16:14:27.397   600-940   OptProp                 system_server                        W  Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_USER_ASPECT_RATIO_OVERRIDE
2024-08-13 16:14:27.397   600-940   OptProp                 system_server                        W  Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_USER_ASPECT_RATIO_FULLSCREEN_OVERRIDE
2024-08-13 16:14:27.397   600-940   OptProp                 system_server                        W  Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_ORIENTATION_OVERRIDE
2024-08-13 16:14:27.399   600-940   Grammatica...ctionUtils system_server                        V  AttributionSource: android.content.AttributionSource@3f4967dc does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
2024-08-13 16:14:27.400   600-940   OptProp                 system_server                        W  Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_RESIZEABLE_ACTIVITY_OVERRIDES
2024-08-13 16:14:27.401   600-940   OptProp                 system_server                        W  Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_MIN_ASPECT_RATIO_OVERRIDE
2024-08-13 16:14:27.405   600-940   ActivityTaskManager     system_server                        I  START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.example.testapp/.MainActivity bnds=[824,1873][997,2068]} with LAUNCH_MULTIPLE from uid 10167 (BAL_ALLOW_VISIBLE_WINDOW) result code=0
2024-08-13 16:14:27.406  1194-1194  StatsLog                com...le.android.apps.nexuslauncher  D  LAUNCHER_APP_LAUNCH_TAP
2024-08-13 16:14:27.406  1194-1194  StatsLog                com...le.android.apps.nexuslauncher  D  LAUNCHER_HOTSEAT_RANKED
2024-08-13 16:14:27.406   600-653   Grammatica...ctionUtils system_server                        V  AttributionSource: android.content.AttributionSource@3f4967dc does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
